OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,
OTU_186,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_19,s__bacterium_mpn-isolate_group_19,
OTU_187,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_2,s__bacterium_mpn-isolate_group_2,
OTU_188,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_22,s__bacterium_mpn-isolate_group_22,
OTU_189,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_24,s__bacterium_mpn-isolate_group_24,
OTU_190,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_25,s__bacterium_mpn-isolate_group_25,
OTU_191,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_3,s__bacterium_mpn-isolate_group_3,
OTU_192,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_4,s__bacterium_mpn-isolate_group_4,
OTU_193,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_mpn-isolate_group_9,s__bacterium_mpn-isolate_group_9,
OTU_194,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_MS4,s__bacterium_MS4,
OTU_195,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_N-11,s__bacterium_N-11,
OTU_196,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_NB2016,s__bacterium_NB2016,
OTU_197,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_NC2002,s__bacterium_NC2002,
OTU_198,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_NC2004,s__bacterium_NC2004,
OTU_199,k__Bacteria,p__,c__,o__,f__,g__,s__bacterium_NC3005,s__bacterium_NC3005,
